-281.643 	 260.229
-285.905 	 254.676
-290.166 	 249.122
-294.427 	 243.569
-298.689 	 238.015
-302.95 	 232.462
-307.211 	 226.908
-311.473 	 221.355
-315.734 	 215.801
-319.995 	 210.248
-324.257 	 204.694
-328.518 	 199.141
-336.72 	 184.934
-339.399 	 178.467
-342.078 	 172.
-344.756 	 165.533
-347.435 	 159.066
-350.114 	 152.599
-352.793 	 146.131
-355.471 	 139.664
-358.15 	 133.197
-360.829 	 126.73
-363.508 	 120.263
-366.187 	 113.796
-368.865 	 107.329
-373.111 	 91.4834
-374.025 	 84.5433
-374.938 	 77.6032
-375.852 	 70.6631
-376.766 	 63.723
-377.679 	 56.7828
-378.593 	 49.8427
-379.507 	 42.9026
-380.421 	 35.9625
-381.334 	 29.0224
-382.248 	 22.0823
-383.162 	 15.1422
-384.075 	 8.20205
-384.075 	 -8.20205
-383.162 	 -15.1422
-382.248 	 -22.0823
-381.334 	 -29.0224
-380.421 	 -35.9625
-379.507 	 -42.9026
-378.593 	 -49.8427
-377.679 	 -56.7828
-376.766 	 -63.723
-375.852 	 -70.6631
-374.938 	 -77.6032
-374.025 	 -84.5433
-373.111 	 -91.4834
-368.865 	 -107.329
-366.187 	 -113.796
-363.508 	 -120.263
-360.829 	 -126.73
-358.15 	 -133.197
-355.471 	 -139.664
-352.793 	 -146.131
-350.114 	 -152.599
-347.435 	 -159.066
-344.756 	 -165.533
-342.078 	 -172.
-339.399 	 -178.467
-336.72 	 -184.934
-328.518 	 -199.141
-324.257 	 -204.694
-319.995 	 -210.248
-315.734 	 -215.801
-311.473 	 -221.355
-307.211 	 -226.908
-302.95 	 -232.462
-298.689 	 -238.015
-294.427 	 -243.569
-290.166 	 -249.122
-285.905 	 -254.676
-281.643 	 -260.229
-277.382 	 -265.782
-265.782 	 -277.382
-260.229 	 -281.643
-254.676 	 -285.905
-249.122 	 -290.166
-243.569 	 -294.427
-238.015 	 -298.689
-232.462 	 -302.95
-226.908 	 -307.211
-221.355 	 -311.473
-215.801 	 -315.734
-210.248 	 -319.995
-204.694 	 -324.257
-199.141 	 -328.518
-184.934 	 -336.72
-178.467 	 -339.399
-172. 	 -342.078
-165.533 	 -344.756
-159.066 	 -347.435
-152.599 	 -350.114
-146.131 	 -352.793
-139.664 	 -355.471
-133.197 	 -358.15
-126.73 	 -360.829
-120.263 	 -363.508
-113.796 	 -366.187
-107.329 	 -368.865
-91.4834 	 -373.111
-84.5433 	 -374.025
-77.6032 	 -374.938
-70.6631 	 -375.852
-63.723 	 -376.766
-56.7828 	 -377.679
-49.8427 	 -378.593
-42.9026 	 -379.507
-35.9625 	 -380.421
-29.0224 	 -381.334
-22.0823 	 -382.248
-15.1422 	 -383.162
-8.20205 	 -384.075
8.20205 	 -384.075
15.1422 	 -383.162
22.0823 	 -382.248
29.0224 	 -381.334
35.9625 	 -380.421
42.9026 	 -379.507
49.8427 	 -378.593
56.7828 	 -377.679
63.723 	 -376.766
70.6631 	 -375.852
77.6032 	 -374.938
84.5433 	 -374.025
91.4834 	 -373.111
107.329 	 -368.865
113.796 	 -366.187
120.263 	 -363.508
126.73 	 -360.829
133.197 	 -358.15
139.664 	 -355.471
146.131 	 -352.793
152.599 	 -350.114
159.066 	 -347.435
165.533 	 -344.756
172. 	 -342.078
178.467 	 -339.399
184.934 	 -336.72
199.141 	 -328.518
204.694 	 -324.257
210.248 	 -319.995
215.801 	 -315.734
221.355 	 -311.473
226.908 	 -307.211
232.462 	 -302.95
238.015 	 -298.689
243.569 	 -294.427
249.122 	 -290.166
254.676 	 -285.905
260.229 	 -281.643
265.782 	 -277.382
277.382 	 -265.782
281.643 	 -260.229
285.905 	 -254.676
290.166 	 -249.122
294.427 	 -243.569
298.689 	 -238.015
302.95 	 -232.462
307.211 	 -226.908
311.473 	 -221.355
315.734 	 -215.801
319.995 	 -210.248
324.257 	 -204.694
328.518 	 -199.141
336.72 	 -184.934
339.399 	 -178.467
342.078 	 -172.
344.756 	 -165.533
347.435 	 -159.066
350.114 	 -152.599
352.793 	 -146.131
355.471 	 -139.664
358.15 	 -133.197
360.829 	 -126.73
363.508 	 -120.263
366.187 	 -113.796
368.865 	 -107.329
373.111 	 -91.4834
374.025 	 -84.5433
374.938 	 -77.6032
375.852 	 -70.6631
376.766 	 -63.723
377.679 	 -56.7828
378.593 	 -49.8427
379.507 	 -42.9026
380.421 	 -35.9625
381.334 	 -29.0224
382.248 	 -22.0823
383.162 	 -15.1422
384.075 	 -8.20205
